author,year,obs,study,group,study_type,class,subclass,order,suborder,family,genus,species,other,sex,polymorphic_plastic,tox_note,tox_measure,col_var,source,n,r,note
Arenas et al.,2015,obs001,s001,g001,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Adalia,Adalia_bipunctata,NA,both,1,no_daphnia_dead,bioassay,saturation,fig_3,39,0.19,
Arenas et al.,2015,obs002,s001,g002,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Aphidecta,Aphidecta_obliterata,NA,both,1,no_daphnia_dead,bioassay,saturation,fig_3,36,0.22,
Arenas et al.,2015,obs003,s001,g003,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Propylea,Propylea_quatuordecimpunctata,NA,both,1,no_daphnia_dead,bioassay,saturation,fig_3,36,0.12,
Arenas et al.,2015,obs004,s001,g004,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Halyzia,Halyzia_sedecimguttata,NA,both,1,no_daphnia_dead,bioassay,saturation,fig_3,36,0.38,
Arenas et al.,2015,obs005,s001,g005,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Exochomus,Exochomus_quadripustulatus,NA,both,1,no_daphnia_dead,bioassay,saturation,fig_3,37,0.03,
Arenas et al.,2015,obs006,s001,g006,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Adalia,Adalia_bipunctata,NA,both,1,no_daphnia_dead,bioassay,saturation,fig_3,37,0.22,
Arenas et al.,2015,obs007,s001,g001,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Adalia,Adalia_bipunctata,NA,both,1,no_daphnia_dead,bioassay,internal_contrast,fig_s3,39,-0.09,luminance contrast
Arenas et al.,2015,obs008,s001,g002,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Aphidecta,Aphidecta_obliterata,NA,both,1,no_daphnia_dead,bioassay,internal_contrast,fig_s3,36,0.3,luminance contrast
Arenas et al.,2015,obs009,s001,g003,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Propylea,Propylea_quatuordecimpunctata,NA,both,1,no_daphnia_dead,bioassay,internal_contrast,fig_s3,36,0.21,luminance contrast
Arenas et al.,2015,obs010,s001,g004,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Halyzia,Halyzia_sedecimguttata,NA,both,1,no_daphnia_dead,bioassay,internal_contrast,fig_s3,36,-0.14,luminance contrast
Arenas et al.,2015,obs011,s001,g005,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Exochomus,Exochomus_quadripustulatus,NA,both,1,no_daphnia_dead,bioassay,internal_contrast,fig_s3,37,-0.11,luminance contrast
Arenas et al.,2015,obs012,s001,g006,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Adalia,Adalia_bipunctata,NA,both,1,no_daphnia_dead,bioassay,internal_contrast,fig_s3,37,-0.19,luminance contrast
Vidal-Cordero et al.,2012,obs013,s002,g007,among_individuals,insecta,pterygota,hymenoptera,apocrita,vespidae,Polistes,Polistes_dominula,NA,female,0,poison_gland_size,physiological,brightness,text,30,0.41,pca1
Bezzerides et al.,2007,obs014,s003,g008,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Harmonia,Harmonia_axyridis,NA,male,1,total_alkaloid_conc,physiological,hue,text,17,-0.03,
Bezzerides et al.,2007,obs015,s003,g009,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Harmonia,Harmonia_axyridis,NA,female,1,total_alkaloid_conc,physiological,hue,text,25,-0.19,
Bezzerides et al.,2007,obs016,s003,g008,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Harmonia,Harmonia_axyridis,NA,male,1,total_alkaloid_conc,physiological,area,text,22,0.41,
Bezzerides et al.,2007,obs017,s003,g009,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Harmonia,Harmonia_axyridis,NA,female,1,total_alkaloid_conc,physiological,area,text,27,0.61,
Bezzerides et al.,2007,obs018,s003,g008,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Harmonia,Harmonia_axyridis,NA,male,1,total_alkaloid_conc,physiological,brightness,text,22,0.16,
Bezzerides et al.,2007,obs019,s003,g009,among_individuals,insecta,pterygota,coleoptera,polyphaga,coccinellidae,Harmonia,Harmonia_axyridis,NA,female,1,total_alkaloid_conc,physiological,brightness,text,27,0.56,
Cortesi & Cheney,2007,obs020,s004,g010,among_species,gastropoda,heterobranchia,NA,NA,NA,NA,NA,NA,both,NA,brine_shrimp_mortality,bioassay,internal_contrast,,20,0.59,RN - JNDs
